klyuch,hozyaistvo,vino,vivino_id,vivino_adres,vivino_status,etiketok,v_knige,est_u_kritikov,rejon,vinogorje,rejon_istochnik,cvet
aleksic-prokupac,Aleksić,Prokupac,11577328,https://www.vivino.com/w/11577328,ocenka_est,138,False,True,Vranjski rejon,,konkurs,красное
aleksic-rose,Aleksić,Rose,3137268,https://www.vivino.com/w/3137268,malo_ocenok,49,False,False,Vranjski rejon,Vrtogoško vinogorje,hozyaistvo,розе
aleksic-sevdah,Aleksić,Sevdah,,,net_na_vivino,,False,False,Vranjski rejon,Vrtogoško vinogorje,hozyaistvo,белое
aleksic-sevdah-smederevka,Aleksić,Sevdah Smederevka,4616571,https://www.vivino.com/w/4616571,ocenka_est,1269,False,False,Vranjski rejon,Vrtogoško vinogorje,hozyaistvo,белое
aleksic-sevdah-smederevka-sauvignon-blanc,Aleksić,Sevdah Smederevka - Sauvignon Blanc,2458385,https://www.vivino.com/w/2458385,ocenka_est,1501,False,False,Vranjski rejon,Vrtogoško vinogorje,hozyaistvo,белое
aleksic-sineroija-chardonnay,Aleksić,Sineroija Chardonnay,11144142,https://www.vivino.com/w/11144142,ocenka_est,147,False,False,Vranjski rejon,Vrtogoško vinogorje,hozyaistvo,белое
aleksic-tamjanika-zuti-cvet-penusavac,Aleksić,Tamjanika zuti cvet penusavac,,,net_na_vivino,,True,True,Vranjski rejon,Vrtogoško vinogorje,hozyaistvo,
aleksic-temperament-merlot,Aleksić,Temperament Merlot,8083939,https://www.vivino.com/w/8083939,malo_ocenok,28,False,True,Vranjski rejon,,konkurs,красное
aleksic-zuti-cvet-extra-brut,Aleksić,Zuti Cvet Extra Brut,,,net_na_vivino,,True,True,Vranjski rejon,,konkurs,белое
aleksic-zuti-cvet-penusavo,Aleksić,Zuti Cvet Penusavo,,,net_na_vivino,,True,True,Vranjski rejon,,konkurs,белое
aleksic-zuti-cvet-tamjanika-extra-brut,Aleksić,Zuti Cvet Tamjanika Extra Brut,,,net_na_vivino,,True,True,Vranjski rejon,,konkurs,белое
aleksic-zuti-cvet-tamjanika-sec,Aleksić,Zuti Cvet Tamjanika Sec,,,net_na_vivino,,True,True,Vranjski rejon,,konkurs,белое
aleksic-zuti-cvet,Aleksić,Žuti Cvet,3271936,https://www.vivino.com/w/3271936,ocenka_est,10477,True,True,Vranjski rejon,,konkurs,белое
aleksic-zuti-cvet-penusavo-tamnjanika-sec,Aleksić,Žuti Cvet Penuśavo Tamnjanika Sec,,,net_na_vivino,,True,True,Vranjski rejon,,konkurs,белое
aleksic-zuti-cvet-tamjanika,Aleksić,Žuti Cvet Tamjanika,,,net_na_vivino,,True,True,Vranjski rejon,,konkurs,белое
aleksic-zuti-cvet-tamjanika-dry,Aleksić,Žuti Cvet Tamjanika Dry,,,net_na_vivino,,True,True,Vranjski rejon,,konkurs,белое
amstadt-chardonnay,Amstadt Winery,Chardonnay,12305253,https://www.vivino.com/w/12305253,malo_ocenok,1,False,False,,,,белое
anatea-anatea,Anatea Vinarija,Anatea,,,net_na_vivino,,False,True,Sremski rejon,Fruškogorsko vinogorje,hozyaistvo,
anatea-natasa,Anatea Vinarija,Nataša,,,net_na_vivino,,False,True,Sremski rejon,Fruškogorsko vinogorje,hozyaistvo,
andrica-vinograd-consul-prokupac-merlot,Andrića Vinograd,Consul Prokupac - Merlot,10630234,https://www.vivino.com/w/10630234,ocenka_est,122,False,False,Pocersko Valjevski Rejon,,hozyaistvo,красное
antonijevic-family-laca,Antonijević Family Winery,Laca,12851257,https://www.vivino.com/w/12851257,malo_ocenok,8,False,False,Sremski rejon,Fruškogorsko vinogorje,hozyaistvo,белое
antonijevic-family-probus-konstantin,Antonijević Family Winery,Probus Konstantin,11600529,https://www.vivino.com/w/11600529,malo_ocenok,35,False,False,Sremski rejon,Fruškogorsko vinogorje,hozyaistvo,красное
antonijevic-family-roze,Antonijević Family Winery,Roze,10403794,https://www.vivino.com/w/10403794,malo_ocenok,24,False,False,Sremski rejon,Fruškogorsko vinogorje,hozyaistvo,розе
antonijevic-family-rozmi,Antonijević Family Winery,Розми,13927808,https://www.vivino.com/w/13927808,malo_ocenok,1,False,False,Sremski rejon,Fruškogorsko vinogorje,hozyaistvo,розе
arhangel-uriel,Arhangel,Uriel,8143261,https://www.vivino.com/w/8143261,malo_ocenok,33,False,False,,,,красное
arsenijevic-cabernet-sauvignon,Arsenijević,Cabernet Sauvignon,,,net_na_vivino,,False,True,Šumadijski rejon,Oplenačko vinogorje,hozyaistvo,красное
arsenijevic-cabernet-sauvignon-limited-edition,Arsenijević,Cabernet Sauvignon Limited Edition,8390439,https://www.vivino.com/w/8390439,ocenka_est,754,False,False,Šumadijski rejon,Oplenačko vinogorje,hozyaistvo,красное
arsenijevic-chardonnay,Arsenijević,Chardonnay,3140771,https://www.vivino.com/w/3140771,ocenka_est,497,False,False,Šumadijski rejon,Oplenačko vinogorje,hozyaistvo,белое
arsenijevic-kaberne,Arsenijević,Kaberne,,,net_na_vivino,,False,True,Šumadijski rejon,Oplenačko vinogorje,hozyaistvo,красное
arsenijevic-merlot,Arsenijević,Merlot,3750708,https://www.vivino.com/w/3750708,ocenka_est,749,False,False,Šumadijski rejon,Oplenačko vinogorje,hozyaistvo,красное
arsenijevic-prokupac-starosedelac,Arsenijević,Prokupac „Starosedelac“,,,net_na_vivino,,False,True,Šumadijski rejon,Oplenačko vinogorje,hozyaistvo,красное
arsenijevic-rose,Arsenijević,Rosé,4360066,https://www.vivino.com/w/4360066,ocenka_est,112,False,False,Šumadijski rejon,Oplenačko vinogorje,hozyaistvo,розе
arsenijevic-sauvignon,Arsenijević,Sauvignon,6502774,https://www.vivino.com/w/6502774,ocenka_est,386,False,True,Šumadijski rejon,Oplenačko vinogorje,hozyaistvo,белое
arsenijevic-sauvignon-blanc,Arsenijević,Sauvignon Blanc,,,net_na_vivino,,False,True,Šumadijski rejon,Oplenačko vinogorje,hozyaistvo,
arsenijevic-starosedelac,Arsenijević,Starosedelac,,,net_na_vivino,,False,True,Šumadijski rejon,Oplenačko vinogorje,hozyaistvo,
